id,titulo,autor,precio,editorialId
12,El mago de Oz,Baum Frank,300,PENGUIN BOOKS
22,Alicia En El Pais De Las Maravillas,Carroll Lewis,300,PENGUIN BOOKS
6,Las aventuras de pinocho,Collodi Carlo,300,PENGUIN BOOKS
3,Como programar en Java,Deitel & Deitel,1000,PEARSON
9,Como programar en C++,Deitel & Deitel,1000,PEARSON
8,Matematica... ¿estas ahi? Episodio 2,Paenza,150,SIGLO XXI EDITORES
14,Matematica... ¿estas ahi? Episodio 3.14,Paenza,350,SIGLO XXI EDITORES
2,Matematica... ¿estas ahi?,Paenza,350,SIGLO XXI EDITORES
13,La vida por la patria,Pigna,250,PLANETA
7,La voz del gran jefe,Pigna,500,PLANETA
18,Libertadores de America,Pigna,500,PLANETA
19,Matematica... ¿estas ahi? Episodio 100,Pigna,150,SIGLO XXI EDITORES
1,Manuel Belgrano,Pigna,248,PLANETA
23,Los mitos de la historia argentina 1,Pigna,500,PLANETA
25,Los mitos de la historia argentina 2,Pigna,450,PLANETA
27,Los mitos de la historia argentina 3,Pigna,375,PLANETA
29,Los mitos de la historia argentina 4,Pigna,250,PLANETA
30,Los mitos de la historia argentina 5,Pigna,270,PLANETA
24,Harry Potter y la Orden del Fenix,Rowling,800,SALAMANDRA
5,Harry Potter Y La Piedra Filosofal,Rowling,800,SALAMANDRA
26,Harry Potter y el misterio del principe,Rowling,800,SALAMANDRA
21,Harry Potter y el cáliz de fuego,Rowling,800,SALAMANDRA
28,Harry Potter y las Reliquias de la Muerte,Rowling,800,SALAMANDRA
16,Harry Potter y el prisionero de Azkaban,Rowling,800,SALAMANDRA
11,Harry Potter y la camara secreta,Rowling,800,SALAMANDRA
17,Los Viajes De Gulliver,Swift Jonathan,300,PENGUIN BOOKS
4,El señor de los anillos - La comunidad del anillo,Tolkien,800,MINOTAURO
20,El hobbit,Tolkien,800,MINOTAURO
10,El señor de los anillos - Las dos torres,Tolkien,800,MINOTAURO
15,El señor de los anillos - El retorno del rey,Tolkien,800,MINOTAURO
